Date;Per month;Per day;Per hour
01/01/2024;R$ 1.412,00;R$ 47,07;R$ 6,42
01/05/2023;R$ 1.320,00;R$ 44,00;R$ 6,00
01/01/2022;R$ 1.212,00;R$ 40,40;R$ 5,51
01/01/2021;R$ 1.100,00;R$ 36,67;R$ 5,00
01/02/2020;R$ 1.045,00;R$ 34,83;R$ 4,75
01/01/2020;R$ 1.039,00;R$ 34,63;R$ 4,72
01/01/2019;R$ 998,00;R$  33,27;R$  4,54
01/01/2018;R$ 954,00;R$  31,80;R$  4,34
01/01/2017;R$ 937,00;R$  31,23;R$  4,26
01/01/2016;R$ 880,00;R$  29,33;R$  4,00
01/01/2015;R$ 788,00;R$  26,27;R$  3,58
01/01/2014;R$ 724,00;R$  24,13;R$  3,29
01/01/2013;R$ 678,00;R$  22,60;R$  3,08
01/01/2012;R$ 622,00;R$   20,73;R$  2,83
01/03/2011;R$ 545,00;R$   18,17;R$  2,48
01/01/2011;R$ 540,00;R$   18,00;R$  2,45
01/01/2010;R$ 510,00;R$   17,00;R$  2,32
01/02/2009;R$ 465,00;R$   15,50;R$  2,11
01/03/2008;R$ 415,00;R$   13,83;R$  1,89
01/04/2007;R$ 380,00;R$   12,67;R$  1,73
01/04/2006;R$ 350,00;R$   11,67;R$  1,59
01/05/2005;R$ 300,00;R$   10,00;R$  1,36
01/05/2004;R$ 260,00;R$     8,67;R$  1,18
01/04/2003;R$ 240,00;R$     8,00;R$  1,09
01/04/2002;R$ 200,00;R$     6,67;R$  0,91
01/04/2001;R$ 180,00;R$     6,00;R$  0,82
03/04/2000;R$ 151,00;R$     5,03;R$  0,69
